Constructor,Engine,Licensed in,Based in,Seasons,Races Entered,Races Started,Drivers,Total Entries,Wins,Points,Poles,FL,Podiums,WCC,WDC,Antecedent teams
Alpine,Renault, France,United Kingdom,2021–present,112,111,5,224,1,535,0,1,6,0,0,"Toleman (1981–1985),   Benetton (1986–2001),   Renault (2002–2011, 2016–2020),  Lotus (2012–2015)"
Aston Martin,Mercedes, United Kingdom, United Kingdom,"1959–1960,2021–present",118,116,7,235,0,578,0,3,9,0,0,"Jordan (1991–2005),  Midland (2006),  Spyker (2007) , Force India (2008–2018) , Force India (2018) , Racing Point (2019–2020)"
Ferrari,Ferrari, Italy, Italy,1950–present,1122,1119,83,2370,248,10686,254,264,836,16,15,—
Haas,Ferrari,United States,United States  United Kingdom  Italy,2016–present,212,211,9,424,0,377,1,3,0,0,0,—
McLaren,Mercedes,United Kingdom,United Kingdom,1966–present,996,991,52,2061,203,7713.5,176,182,555,10,12,—
Mercedes,Mercedes, Germany, United Kingdom [c],"1954–1955,2010–present",339,338,13,690,131,8088.5,143,115,308,8,9,"Tyrrell (1970–1998),  BAR (1999–2005),  Honda (2006–2008),  Brawn (2009)"
Racing Bulls,Honda  RBPT, Italy, Italy   United Kingdom,2024–present,46,45,4,92,0,128,0,1,1,0,0,"Minardi (1985–2005) ,    Toro Rosso (2006–2019)    AlphaTauri (2020–2023)"
Red Bull Racing,Honda  RBPT, Austria [d], United Kingdom,2005–present,416,414,13,832,127,8203,110,101,294,6,8,"Stewart (1997–1999),  Jaguar (2000–2004)"
Sauber   BMW Sauber   Kick Sauber [e],Ferrari, Switzerland [f], Switzerland   United Kingdom,"1993 – 2018 , 2024 –present",511,507,34,994,1,931,1,5,27,0,0,  Alfa Romeo (2019–2023)
Williams,Mercedes,United Kingdom,United Kingdom,1978–present,849,847,49,1615,114,3748,128,134,314,9,7,—
