Engines built in,Seasons,Races Entered,Manufacturer URL,Wins,Manufacturer,Points,FL,Poles,Races Started,WCC,WDC,Podiums
Italy,2001,17,https://en.wikipedia.org/wiki/Acer_(engine),0,Acer,4,0,0,17,0,0,0
Italy,"1950 – 1951 , 1961 – 1963 , 1965 , 1968 , 1970 – 1971 , 1976 – 1987",226,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,12,Alfa Romeo,148,20,15,215,0,2,40
United Kingdom,1950 – 1959,31,https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company,0,Alta,n/a,0,0,26,n/a,0,1
United Kingdom,1998 – 1999,32,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,0,Arrows,7,0,0,32,0,0,0
France,2001 – 2002,34,https://en.wikipedia.org/wiki/Asia_Motor_Technologies_France,0,Asiatech,3,0,0,33,0,0,0
United Kingdom,1959 – 1960,6,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,0,Aston Martin,0,0,0,5,0,0,0
Italy,"1963 – 1964 , 1967",7,https://en.wikipedia.org/wiki/Automobili_Turismo_e_Sport,0,ATS,0,0,0,7,0,0,0
Germany,"1952 – 1954 , 1967 – 1968 , 1982 – 1987 , 2000 – 2009",273,https://en.wikipedia.org/wiki/BMW_in_Formula_One,20,BMW,1021,33,33,270,0,1,86
Germany,"1959 , 1962 – 1963",3,https://en.wikipedia.org/wiki/Borgward,0,Borgward,0,0,0,1,0,0,0
Italy,1952,1,,0,BPM,n/a,0,0,0,n/a,0,0
United Kingdom,1952 – 1957,17,https://en.wikipedia.org/wiki/Bristol_Cars,0,Bristol,n/a,0,0,17,n/a,0,1
United Kingdom,"1951 , 1956 – 1960 , 1962 – 1977",200,https://en.wikipedia.org/wiki/British_Racing_Motors,18,BRM,499,14,11,189,1,1,65
France,1956,1,https://en.wikipedia.org/wiki/Bugatti,0,Bugatti,n/a,0,0,1,n/a,0,0
United Kingdom,1952,4,https://en.wikipedia.org/wiki/Aston_Butterworth,0,Butterworth,n/a,0,0,2,n/a,0,0
United Kingdom,2019 – 2020,38,https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains,1,BWT Mercedes,268,0,1,38,0,0,4
Italy,1960,4,https://en.wikipedia.org/wiki/Castellotti,0,Castellotti,3,0,0,3,0,0,0
United Kingdom,1957 – 1969,97,https://en.wikipedia.org/wiki/Coventry_Climax,40,Climax,684,44,44,96,4,4,104
Italy,1961,1,https://en.wikipedia.org/wiki/Virgilio_Conrero,0,Conrero,0,0,0,1,0,0,0
United Kingdom,"2000 – 2006 , 2010 – 2013",199,https://en.wikipedia.org/wiki/Cosworth,0,Cosworth,179,1,1,199,0,0,2
Italy,1962,1,https://en.wikipedia.org/wiki/De_Tomaso,0,De Tomaso,0,0,0,0,0,0,0
East Germany,1953,1,https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,0,EMW,n/a,0,0,1,n/a,0,0
United Kingdom,1950 – 1951,4,https://en.wikipedia.org/wiki/English_Racing_Automobiles,0,ERA,n/a,0,0,4,n/a,0,0
United Kingdom,2001,17,https://en.wikipedia.org/wiki/European_(engine),0,European,0,0,0,17,0,0,0
Italy,1950 –present,1127,https://en.wikipedia.org/wiki/Scuderia_Ferrari,249,Ferrari ~,11923,273,256,1122,16,15,843
Italy,1950,1,https://en.wikipedia.org/wiki/Fiat,0,Fiat,n/a,0,0,0,n/a,0,0
United Kingdom,2000,17,https://en.wikipedia.org/wiki/Fondmetal,0,Fondmetal,0,0,0,17,0,0,0
United Kingdom United States,"1951 , 1963 – 1999 , 2003 – 2004",528,https://en.wikipedia.org/wiki/Ford_Motor_Company,176,Ford,4286.5,159,139,523,10,13,533
France,1950 – 1956,45,https://en.wikipedia.org/wiki/Gordini,0,Gordini,n/a,1,0,40,0,0,2
United Kingdom,"1981 – 1986 , 1993 – 1997",158,https://en.wikipedia.org/wiki/Hart_Racing_Engines,0,Hart,63,2,2,144,0,0,5
Japan,"1964 – 1968 , 1983 – 1992 , 2000 – 2008 , 2015 – 2021",482,https://en.wikipedia.org/wiki/Honda_in_Formula_One,89,Honda,3409,76,90,481,6,6,223
Japan,2023 –present,69,https://en.wikipedia.org/wiki/Honda_RBPT,36,Honda RBPT ~,2010,20,29,68,1,2,62
United Kingdom,"1991 – 1992 , 1994",48,https://en.wikipedia.org/wiki/Ilmor,0,Ilmor,12,0,0,37,0,0,0
United Kingdom,1950,1,https://en.wikipedia.org/wiki/Jaguar_Cars,0,Jaguar,n/a,0,0,1,n/a,0,0
United Kingdom,1950,1,https://en.wikipedia.org/wiki/JA_Prestwich_Industries,0,JAP,n/a,0,0,1,n/a,0,0
United Kingdom,1988 – 1992,76,https://en.wikipedia.org/wiki/Judd_(engine),0,Judd,86,3,0,68,0,0,8
Germany,1952,1,,0,Küchen,n/a,0,0,1,n/a,0,0
Italy,1989 – 1993,80,https://en.wikipedia.org/wiki/Lamborghini,0,Lamborghini,20,0,0,80,0,0,1
Italy,1953 – 1955,6,https://en.wikipedia.org/wiki/Lancia_in_Formula_One,0,Lancia,n/a,1,2,4,n/a,0,1
United Kingdom,1952 – 1954,10,https://en.wikipedia.org/wiki/Lea-Francis,0,Lea-Francis,n/a,0,0,10,n/a,0,0
Italy,1990,12,https://en.wikipedia.org/wiki/Life_Racing_Engines,0,Life,0,0,0,0,0,0,0
Italy,"1950 – 1963 , 1966 – 1969",113,https://en.wikipedia.org/wiki/Maserati_in_Formula_One,11,Maserati,72,17,11,108,0,2,44
France,"1968 , 1970 – 1972 , 1975 – 1978 , 1981 – 1982",126,https://en.wikipedia.org/wiki/Equipe_Matra_Sports,3,Matra,173,5,4,125,0,0,24
France,1998,16,https://en.wikipedia.org/wiki/Mecachrome,0,Mecachrome,38,0,0,16,0,0,3
Switzerland,1987 – 1988,32,https://en.wikipedia.org/wiki/Megatron_(engine),0,Megatron,35,0,0,32,0,0,1
United Kingdom,"1954 – 1955 , 1994 –present",612,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,238,Mercedes ~,16287.5,238,248,609,12,13,656
Italy,1985 – 1987,46,https://en.wikipedia.org/wiki/Motori_Moderni,0,Motori Moderni,0,0,0,44,0,0,0
Japan,1992 – 2000,147,https://en.wikipedia.org/wiki/Mugen_Honda,4,Mugen-Honda,182,0,1,147,0,0,16
Italy,"1951 – 1953 , 1958 – 1959 , 1961 – 1962",12,https://en.wikipedia.org/wiki/O.S.C.A.,0,OSCA,0,0,0,8,0,0,0
Italy,1988,16,https://en.wikipedia.org/wiki/Osella,0,Osella,0,0,0,10,0,0,0
Italy,1997 – 2005,153,https://en.wikipedia.org/wiki/Sauber_Petronas_Engineering,0,Petronas,142,0,0,151,0,0,4
France,1994 – 2000,115,https://en.wikipedia.org/wiki/Peugeot,0,Peugeot,128,1,0,115,0,0,14
France,1998 – 2000,49,https://en.wikipedia.org/wiki/Playlife,0,Playlife,69,1,1,49,0,0,6
Germany,"1958 – 1964 , 1991",39,https://en.wikipedia.org/wiki/Porsche_in_Formula_One,1,Porsche,48,0,1,35,0,0,5
United States,1971,3,https://en.wikipedia.org/wiki/Pratt_%26_Whitney,0,Pratt & Whitney,0,0,0,3,0,0,0
Japan,2022,22,https://en.wikipedia.org/wiki/Red_Bull_Powertrains,17,Red Bull Powertrains,794,8,8,22,1,1,28
France,"1977 – 1986 , 1989 – 1997 , 2001 –present",773,https://en.wikipedia.org/wiki/Renault_in_Formula_One,169,Renault ~,8228.5,177,213,769,12,11,465
Australia,1966 – 1969,33,https://en.wikipedia.org/wiki/Repco,8,Repco,126,4,7,33,2,2,25
United Kingdom,1993,16,https://en.wikipedia.org/wiki/Sauber_Motorsport,0,Sauber,12,0,0,16,0,0,0
United States,1960,6,https://en.wikipedia.org/wiki/Scarab_(constructor),0,Scarab,0,0,0,2,0,0,0
Italy,1966,3,https://en.wikipedia.org/wiki/Scuderia_Serenissima,0,Serenissima,1,0,0,1,0,0,0
Italy,1990,8,https://en.wikipedia.org/wiki/Subaru,0,Subaru,0,0,0,0,0,0,0
France,1999 – 2000,33,https://en.wikipedia.org/wiki/Supertec,0,Supertec,42,1,0,33,0,0,3
Germany,1983 – 1987,68,https://en.wikipedia.org/wiki/Techniques_d%27Avant_Garde,25,TAG,405.5,18,7,68,2,3,54
France,2016 – 2018,62,https://en.wikipedia.org/wiki/TAG_Heuer,9,TAG Heuer,1255,13,3,62,0,0,42
France,1950 – 1951,14,https://en.wikipedia.org/wiki/Talbot-Lago,0,Talbot,n/a,0,0,13,n/a,0,2
Italy,1972 – 1973,13,https://en.wikipedia.org/wiki/Tecno_(motorsport),0,Tecno,1,0,0,10,0,0,0
France,2017,20,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,0,Toro Rosso,53,0,0,20,0,0,0
Germany,2002 – 2009,140,https://en.wikipedia.org/wiki/Toyota_Racing_(Formula_One_team),0,Toyota,384,4,3,140,0,0,17
United Kingdom,1954 – 1960,29,https://en.wikipedia.org/wiki/Vanwall,9,Vanwall,57,6,7,28,1,0,13
Germany,1951 – 1953,6,https://en.wikipedia.org/wiki/Veritas_(automobile),0,Veritas,n/a,0,0,6,n/a,0,0
United Kingdom,1966 – 1968,18,https://en.wikipedia.org/wiki/Weslake,1,Weslake,13,2,0,18,0,0,2
Japan,"1989 , 1991 – 1997",130,https://en.wikipedia.org/wiki/Yamaha_Motor_Company,0,Yamaha,36,0,0,116,0,0,2
Germany,1985 – 1988,57,https://en.wikipedia.org/wiki/Zakspeed,0,Zakspeed,2,0,0,51,0,0,0
Engines built in,Seasons,Races Entered,,Wins,Manufacturer,Points,FL,Poles,Races Started,WCC,WDC,Podiums
